Start Time,End Time,Text,Lable
00:00:05:26,00:00:08:08,처음부터 혼자가 하려던 건 아니었다,neutral
00:00:24:24,00:00:27:22,연결이 되지 않아 사서함으로 연결되며,neutral
00:00:28:07,00:00:32:21,삐소리 이후 통행료가 부과됩니다,neutral
00:00:33:26,00:00:36:05,얼마나 기다린 거지?,embrassment
00:00:36:05,00:00:37:24,그냥 갈까?,embrassment
00:00:51:13,00:00:54:17,결국 혼자다,neutral
00:01:41:29,00:01:46:18,일을 시작한 지 얼마나 됐다고,neutral
00:01:46:28,00:01:49:19,회사를 그만두고 쉬고 있다,neutral
00:01:49:19,00:01:51:21,길을 찾기 위해 결정한 휴식인데,anxious
00:01:52:06,00:01:55:26,길을 잃어버린 것 같다,anxious
00:01:57:19,00:02:03:01,괜찮다,neutral
00:02:03:01,00:02:05:12,천천히 해도 된다,neutral
00:02:05:12,00:02:10:06,부모님의 배려가 조금씩 버겁게 느껴진다,anxious
00:02:11:14,00:02:13:22,하늘은 참 맑구나,neutral
00:02:13:22,00:02:16:15,솔직히 모르겠다,anxious
00:02:16:21,00:02:20:21,내가 가는 길이 과연 맞는 걸까?,anxious
00:02:21:07,00:02:24:06,앞으로 걸어갈 길을 고민하기 위해 캠핑을 갔다,neutral
00:02:25:11,00:02:28:08,"큰마음 먹고 캠핑용품을 샀고,",neutral
00:02:28:08,00:02:40:21,무작정 차를 빌렸다,neutral
00:02:45:06,00:02:47:02,혼자 오려던 건 아니다,neutral
00:02:47:02,00:02:49:05,원래 함께 하기로 한 친구가 있었는데,neutral
00:02:56:05,00:02:58:25,뭐 그렇게 됐다,neutral
00:02:59:23,00:03:00:18,혼자 왔어도,neutral
00:03:00:18,00:03:12:29,캠핑 기분은 내야겠지?,neutral
00:03:12:29,00:03:15:00,캠핑은 어두워져 있을 때가 제맛이라,neutral
00:03:15:04,00:03:17:23,주변을 산책하기 좋은 곳에 갔다,neutral
00:03:17:23,00:03:28:15,산책하러 온 것치고는 어마어마하네,embrassment
00:03:31:07,00:03:51:12,그래도 너무 좋다,happy
00:03:51:12,00:03:54:20,어로와 향로 두 개의 길,neutral
00:03:55:26,00:03:57:06,어로로 걸어야 한다면,neutral
00:03:57:06,00:04:05:02,다 이렇게 걷는 길이 정해져 있으면,neutral
00:04:05:02,00:04:07:04,참 좋을 텐데,neutral
00:04:22:23,00:04:24:23,"낯설지 않다, 이 풍경",neutral
00:04:33:09,00:04:34:23,혹시 예전에,neutral
00:04:34:23,00:05:03:16,나는 왕족이 아니었을까?,neutral
00:05:03:16,00:05:07:19,예릉을 올려다 볼 수 있는 작은 전망대,neutral
00:05:09:02,00:05:12:24,가만히 서서 보고 있자니 마음의 작은 평화가 찾아온다,happy
00:05:20:02,00:05:21:00,넓은 대지가,neutral
00:05:21:00,00:05:31:26,양옆으로 펼쳐진 길,neutral
00:05:32:07,00:05:35:15,들어가서 뛰놀고 싶다,neutral
00:05:41:03,00:05:43:16,내가 가는 이 길이 어디로 가는지?,embrassment
00:05:44:10,00:05:49:18,어디로 날 데려가는지  그곳은 어디인지?,embrassment
00:05:54:10,00:05:56:27,이거 무슨 노래 가사였지?,neutral
00:05:58:15,00:06:00:12,뭐 어쨌든 기라,neutral
00:06:00:12,00:06:03:00,날 어디로 데려다줄 거니?,neutral
00:06:05:08,00:06:06:03,추운 날에도,neutral
00:06:06:03,00:06:11:25,잎이 무성한 나무가 가득한 길,neutral
00:06:11:25,00:06:21:12,배움에는 끝이 없다는데,neutral
